congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942.0,,-0.32,0.283,,,,,,,
117,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.359,0.46,-41.3103,0.87782,317,12,,0.452,0.364
117,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.393,0.4,-10.16691,0.96882,321,5,,-0.608,0.367
117,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954.0,,0.652,-0.425,-53.26925,0.84305,312,26,,0.752,-0.19
117,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.697,0.004,-29.95555,0.91143,323,11,,0.655,0.145
117,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.579,0.47,-17.43993,0.9476,324,7,,0.579,0.47
117,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.678,-0.062,-36.89565,0.88847,312,21,,0.678,-0.062
117,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.375,0.581,-60.24801,0.82741,318,17,,0.579,0.155
117,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933.0,,0.283,0.021,-64.24759,0.80128,290,26,,0.269,-0.006
117,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.598,-0.258,-5.05395,0.98457,325,2,,-0.479,-0.436
117,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950.0,,-0.167,-0.004,-13.3414,0.95978,325,5,,-0.5,0.454
117,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.687,-0.448,-52.85198,0.84732,319,27,,0.728,-0.553
117,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.578,-0.297,-43.46638,0.87482,325,21,,0.52,-0.085
117,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.451,0.001,-6.2361,0.98076,321,4,,-0.573,0.324
117,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.883,-0.469,-46.62164,0.86521,322,22,,0.793,-0.609
117,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946.0,,-0.193,0.163,-8.55115,0.97371,321,3,,-0.321,0.481
117,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958.0,,0.599,-0.017,-27.36978,0.90081,262,7,,0.586,-0.024
117,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.319,0.021,-6.61536,0.97985,325,3,,-0.321,0.143
117,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.426,0.493,-33.77517,0.90042,322,13,,0.596,0.499
117,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.354,0.577,-26.24999,0.92241,325,12,,0.324,0.538
117,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956.0,,0.447,0.243,-16.55448,0.94989,322,7,,0.4,0.381
117,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967.0,,0.551,0.297,-22.9174,0.9311,321,7,,0.535,0.134
117,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940.0,,-0.49,-0.206,-0.03575,0.99927,49,0,,-0.42,0.044
117,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.349,-0.131,-6.05564,0.98154,325,3,,-0.497,-0.131
